"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Aitkin County, MN"	"27001"	"2009"	"2009"	"10-14 years"	"10-14"	Suppressed	832	Suppressed
	"Aitkin County, MN"	"27001"	"2009"	"2009"	"15-19 years"	"15-19"	Suppressed	846	Suppressed
	"Aitkin County, MN"	"27001"	"2009"	"2009"	"20-24 years"	"20-24"	Suppressed	534	Suppressed
	"Aitkin County, MN"	"27001"	"2009"	"2009"	"25-34 years"	"25-34"	Suppressed	1201	Suppressed
	"Aitkin County, MN"	"27001"	"2009"	"2009"	"35-44 years"	"35-44"	Suppressed	1566	Suppressed
	"Aitkin County, MN"	"27001"	"2009"	"2009"	"45-54 years"	"45-54"	12	2518	476.57 (Unreliable)
	"Aitkin County, MN"	"27001"	"2009"	"2009"	"55-64 years"	"55-64"	16	2795	572.45 (Unreliable)
	"Aitkin County, MN"	"27001"	"2009"	"2009"	"65-74 years"	"65-74"	45	2615	1720.84
	"Aitkin County, MN"	"27001"	"2009"	"2009"	"75-84 years"	"75-84"	47	1249	3763.01
	"Aitkin County, MN"	"27001"	"2009"	"2009"	"85+ years"	"85+"	80	488	16393.44
	"Aitkin County, MN"	"27001"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	131	Suppressed
	"Aitkin County, MN"	"27001"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	647	Suppressed
	"Aitkin County, MN"	"27001"	"2010"	"2010"	"5-9 years"	"5-9"	Suppressed	797	Suppressed
	"Aitkin County, MN"	"27001"	"2010"	"2010"	"10-14 years"	"10-14"	Suppressed	812	Suppressed
	"Aitkin County, MN"	"27001"	"2010"	"2010"	"15-19 years"	"15-19"	Suppressed	822	Suppressed
	"Aitkin County, MN"	"27001"	"2010"	"2010"	"20-24 years"	"20-24"	Suppressed	540	Suppressed
	"Aitkin County, MN"	"27001"	"2010"	"2010"	"25-34 years"	"25-34"	Suppressed	1234	Suppressed
	"Aitkin County, MN"	"27001"	"2010"	"2010"	"35-44 years"	"35-44"	Suppressed	1499	Suppressed
	"Aitkin County, MN"	"27001"	"2010"	"2010"	"45-54 years"	"45-54"	17	2478	686.04 (Unreliable)
	"Aitkin County, MN"	"27001"	"2010"	"2010"	"55-64 years"	"55-64"	20	2829	706.96
	"Aitkin County, MN"	"27001"	"2010"	"2010"	"65-74 years"	"65-74"	36	2635	1366.22
	"Aitkin County, MN"	"27001"	"2010"	"2010"	"75-84 years"	"75-84"	51	1288	3959.63
	"Aitkin County, MN"	"27001"	"2010"	"2010"	"85+ years"	"85+"	73	490	14897.96
	"Aitkin County, MN"	"27001"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2011"	"2011"	"< 1 year"	"1"	Suppressed	116	Suppressed
	"Aitkin County, MN"	"27001"	"2011"	"2011"	"1-4 years"	"1-4"	Suppressed	612	Suppressed
	"Aitkin County, MN"	"27001"	"2011"	"2011"	"5-9 years"	"5-9"	Suppressed	807	Suppressed
	"Aitkin County, MN"	"27001"	"2011"	"2011"	"10-14 years"	"10-14"	Suppressed	800	Suppressed
	"Aitkin County, MN"	"27001"	"2011"	"2011"	"15-19 years"	"15-19"	Suppressed	797	Suppressed
	"Aitkin County, MN"	"27001"	"2011"	"2011"	"20-24 years"	"20-24"	Suppressed	548	Suppressed
	"Aitkin County, MN"	"27001"	"2011"	"2011"	"25-34 years"	"25-34"	Suppressed	1291	Suppressed
	"Aitkin County, MN"	"27001"	"2011"	"2011"	"35-44 years"	"35-44"	Suppressed	1396	Suppressed
	"Aitkin County, MN"	"27001"	"2011"	"2011"	"45-54 years"	"45-54"	Suppressed	2407	Suppressed
	"Aitkin County, MN"	"27001"	"2011"	"2011"	"55-64 years"	"55-64"	22	2910	756.01
	"Aitkin County, MN"	"27001"	"2011"	"2011"	"65-74 years"	"65-74"	51	2620	1946.56
	"Aitkin County, MN"	"27001"	"2011"	"2011"	"75-84 years"	"75-84"	64	1310	4885.50
	"Aitkin County, MN"	"27001"	"2011"	"2011"	"85+ years"	"85+"	76	483	15734.99
	"Aitkin County, MN"	"27001"	"2011"	"2011"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2012"	"2012"	"< 1 year"	"1"	Suppressed	135	Suppressed
	"Aitkin County, MN"	"27001"	"2012"	"2012"	"1-4 years"	"1-4"	Suppressed	550	Suppressed
	"Aitkin County, MN"	"27001"	"2012"	"2012"	"5-9 years"	"5-9"	Suppressed	834	Suppressed
	"Aitkin County, MN"	"27001"	"2012"	"2012"	"10-14 years"	"10-14"	Suppressed	763	Suppressed
	"Aitkin County, MN"	"27001"	"2012"	"2012"	"15-19 years"	"15-19"	Suppressed	772	Suppressed
	"Aitkin County, MN"	"27001"	"2012"	"2012"	"20-24 years"	"20-24"	Suppressed	547	Suppressed
	"Aitkin County, MN"	"27001"	"2012"	"2012"	"25-34 years"	"25-34"	Suppressed	1268	Suppressed
	"Aitkin County, MN"	"27001"	"2012"	"2012"	"35-44 years"	"35-44"	Suppressed	1345	Suppressed
	"Aitkin County, MN"	"27001"	"2012"	"2012"	"45-54 years"	"45-54"	Suppressed	2299	Suppressed
	"Aitkin County, MN"	"27001"	"2012"	"2012"	"55-64 years"	"55-64"	21	2873	730.94
	"Aitkin County, MN"	"27001"	"2012"	"2012"	"65-74 years"	"65-74"	34	2724	1248.16
	"Aitkin County, MN"	"27001"	"2012"	"2012"	"75-84 years"	"75-84"	45	1333	3375.84
	"Aitkin County, MN"	"27001"	"2012"	"2012"	"85+ years"	"85+"	82	487	16837.78
	"Aitkin County, MN"	"27001"	"2012"	"2012"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2013"	"2013"	"< 1 year"	"1"	Suppressed	104	Suppressed
	"Aitkin County, MN"	"27001"	"2013"	"2013"	"1-4 years"	"1-4"	Suppressed	524	Suppressed
	"Aitkin County, MN"	"27001"	"2013"	"2013"	"5-9 years"	"5-9"	Suppressed	834	Suppressed
	"Aitkin County, MN"	"27001"	"2013"	"2013"	"10-14 years"	"10-14"	Suppressed	769	Suppressed
	"Aitkin County, MN"	"27001"	"2013"	"2013"	"15-19 years"	"15-19"	Suppressed	759	Suppressed
	"Aitkin County, MN"	"27001"	"2013"	"2013"	"20-24 years"	"20-24"	Suppressed	571	Suppressed
	"Aitkin County, MN"	"27001"	"2013"	"2013"	"25-34 years"	"25-34"	Suppressed	1222	Suppressed
	"Aitkin County, MN"	"27001"	"2013"	"2013"	"35-44 years"	"35-44"	Suppressed	1325	Suppressed
